date,hrs_work,capital,rGDP,log_A_t,A_t,k_t
1970-01-01 00:00:00.000001950,100064,10563268,2458.532,-3.846025397357753,0.32212535196918163,105.56511832427246
1970-01-01 00:00:00.000001951,108525,10898386,2656.32,-3.8483205375813183,0.32138687689294293,100.42281501958074
1970-01-01 00:00:00.000001952,110757,11258935,2764.803,-3.8290165887174714,0.32765118110650554,101.65438753306789
1970-01-01 00:00:00.000001953,112184,11667803,2894.412,-3.796691840836149,0.3384154619877353,104.00594558938886
1970-01-01 00:00:00.000001954,107712,12058041,2877.708,-3.764007635218505,0.34965904542583354,111.94705325311944
1970-01-01 00:00:00.000001955,111238,12496091,3083.026,-3.727405440977047,0.36269444047240995,112.33653068196121
1970-01-01 00:00:00.000001956,113637,12930121,3148.765,-3.7280280151834564,0.3624687065443155,113.7844276072054
1970-01-01 00:00:00.000001957,113304,13353822,3215.065,-3.7053113999898146,0.3707970059118445,117.85834568947257
1970-01-01 00:00:00.000001958,109709,13737182,3191.216,-3.682330271792429,0.37941700876342016,125.21472258429117
1970-01-01 00:00:00.000001959,113164,14221670,3412.421,-3.6464266052092,0.3932869718899887,125.67309391679332
1970-01-01 00:00:00.000001960,114721,14693055,3500.273,-3.635240941789431,0.39771084342815594,128.0764201846218
1970-01-01 00:00:00.000001961,114607,15185855,3590.066,-3.6099366216179245,0.4079030556050602,132.50373013864774
1970-01-01 00:00:00.000001962,118097,15739644,3810.123,-3.5806177961021204,0.4200393355130392,133.27725513772577
1970-01-01 00:00:00.000001963,120093,16340958,3976.142,-3.5553493467783674,0.4307883112263828,136.06919637281106
1970-01-01 00:00:00.000001964,122889,17002594,4205.277,-3.5228365344117467,0.4450246280492706,138.3573305991586
1970-01-01 00:00:00.000001965,127604,17730630,4478.555,-3.4976547850179136,0.4563734181995974,138.95042475157518
1970-01-01 00:00:00.000001966,133972,18508236,4773.931,-3.482310956718168,0.4634299320936301,138.1500313498343
1970-01-01 00:00:00.000001967,136172,19239902,4904.864,-3.472216111871022,0.46813187813391727,141.29117586581677
1970-01-01 00:00:00.000001968,139143,19990580,5145.914,-3.4463246073791627,0.4804107905741528,143.66931861466261
1970-01-01 00:00:00.000001969,143024,20734748,5306.595,-3.4433586748406064,0.481837771688583,144.97390647723458
1970-01-01 00:00:00.000001970,140823,21379038,5316.391,-3.4273889651350444,0.48959435134326035,151.81495920410728
1970-01-01 00:00:00.000001971,140043,22033236,5491.446,-3.390508643527827,0.5079878426240483,157.3319337632013
1970-01-01 00:00:00.000001972,144127,22780132,5780.048,-3.3681713434740352,0.5194625999252258,158.05596453128143
1970-01-01 00:00:00.000001973,150314,23606602,6106.371,-3.3550904448309407,0.5263022745613286,157.04859161488616
1970-01-01 00:00:00.000001974,150547,24310780,6073.363,-3.3628948346376806,0.5222107929801975,161.4829920224249
1970-01-01 00:00:00.000001975,146463,24845794,6060.875,-3.338928785479604,0.5348772993046935,169.63870738684855
1970-01-01 00:00:00.000001976,150687,25479508,6387.437,-3.314784494215946,0.5479486974433926,169.0889592333778
1970-01-01 00:00:00.000001977,155780,26253260,6682.805,-3.3027199667600087,0.5545994781415151,168.52779560919245
1970-01-01 00:00:00.000001978,162941,27174884,7052.711,-3.2934758983147656,0.5597500029016788,166.7774470513867
1970-01-01 00:00:00.000001979,167633,28144202,7275.999,-3.2908955301717526,0.5611962290727369,167.89177548573372
1970-01-01 00:00:00.000001980,166633,28952150,7257.317,-3.2885117667512205,0.562535583833563,173.74799709541327
1970-01-01 00:00:00.000001981,167767,29738288,7441.485,-3.2708341225200748,0.5725683039134101,177.25946103822562
1970-01-01 00:00:00.000001982,163779,30368384,7307.314,-3.266321375338281,0.5751579988376131,185.42294189120705
1970-01-01 00:00:00.000001983,166077,31093054,7642.266,-3.235726025957854,0.5930271208951757,187.220710875076
1970-01-01 00:00:00.000001984,174211,32068518,8195.295,-3.2131678852859995,0.6065567378826834,184.0786058285642
1970-01-01 00:00:00.000001985,177608,33127016,8537.004,-3.192024514428647,0.6195179307451427,186.51758929777938
1970-01-01 00:00:00.000001986,179575,34181992,8832.611,-3.1696081191665346,0.6335621114161921,190.34939161910066
1970-01-01 00:00:00.000001987,184787,35208604,9137.745,-3.1642854317045614,0.6369433551921029,190.53615243496566
1970-01-01 00:00:00.000001988,189670,36224176,9519.427,-3.149516951086383,0.6464198452269251,190.9852691516845
1970-01-01 00:00:00.000001989,194925,37242084,9869.003,-3.1407934286825174,0.6520835711316328,191.0585302039246
1970-01-01 00:00:00.000001990,196442,38181148,10055.129,-3.1303762680420597,0.6589119347741181,194.36346606122927
1970-01-01 00:00:00.000001991,192286,38943580,10044.238,-3.1113112711984137,0.6715946020875421,202.52946132323726
1970-01-01 00:00:00.000001992,193316,39749632,10398.046,-3.0824891429961774,0.6912330391069214,205.61997972231993
1970-01-01 00:00:00.000001993,196699,40619356,10684.179,-3.072820352543479,0.6979488410377249,206.5051474588076
1970-01-01 00:00:00.000001994,202067,41576888,11114.646,-3.0601366391995892,0.706857803995682,205.7579317751043
1970-01-01 00:00:00.000001995,207463,42589128,11413.012,-3.0599309408515527,0.7070032184335027,205.28541474865398
1970-01-01 00:00:00.000001996,210161,43715496,11843.599,-3.0362138712080657,0.7239716888113741,208.00955457958423
1970-01-01 00:00:00.000001997,216596,44934860,12370.3,-3.0227834877612647,0.7337604927542786,207.45932519529447
1970-01-01 00:00:00.000001998,222346,46303760,12924.876,-3.0052432121751522,0.7467443917091213,208.25092423520098
1970-01-01 00:00:00.000001999,226894,47787892,13543.774,-2.979057328719527,0.7665568242429187,210.61769813216745
1970-01-01 00:00:00.000002000,230609,49329540,14096.033,-2.9557968674196626,0.7845962792648921,213.90986474942434
